Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Objective and/or Activity Affected,Relevance for Electricity Generation,GHG Affected,Printed Page Number,Format,Additional Comments,Link
Greece,GRC,NC5,,Promotion of CHP,,Power / heat gener.,yes,CO2 / CH4 / N2O,143,table,,
Greece,GRC,NC7,1994,"Promotion of RES for electricity
generation","Set the following indicative sector targets according to the national renewable energy action plan (NREAP, time frame 2010-2020) for the contribution of renewable energy source to:
- gross final energy consumption for heating and cooling: at least 20%
- gross final electricity consumption: at least 40%
- gross final energy consumption in transportation: at least 10%",Increase in renewable energy (Energy supply),yes,CO2,158,table,also in NC6 p.155,
Greece,GRC,NC7,1996,"Improvements in the conventional power generation
system ","The main implemented / adopted measures for the improvement of the conventional power generation system are:
- The gradual decommissioning of old inefficient and more pollutant thermal power units.
- The commissioning of new power units that follows BAT and the new IED.
- The increase of NG share in electricity production.
- The interconnection of certain islands with the mainland grid.",Efficiency improvement in the energy and transformation sector (Energy supply); Switch to less carbon-intensive fuels (Energy supply),yes,CO2,158,table,"also in NC6 p.155, NC4 p.184, NC3 p. 125",
Greece,GRC,NC7,1996,Promotion of natural gas in industry,"The actions for the promotion of NG are summarized to the following bullets: (a) Pricing (always lower price than the competitive liquid fuels, valid for all sectors); (b) Discount on connection fees; (c) Heavy marketing through TV commercial, ads, etc., focusing on the increased efficiency, economy and environmental “friendliness” of natural gas; (d) Availability of natural gas through continuous development of networks (infrastructure); (e) Liberalization of electricity and natural gas markets; (f) Emission Trading System; (g) Restriction of environmental permits to industrial installations (e.g. prohibition of petcoke use by the ceramics production units).",Efficiency improvement in industrial end-use sectors (Energy consumption),unclear,CO2,158,table,"also in NC5 p.143, NC6 p.155, NC4 p.184, NC3 p.125",
Greece,GRC,NC7,1998,Promotion of natural gas in residential sector,"The actions for the promotion of NG are summarized to the following bullets: (a) Fiscal measures; (b) Pricing (always lower price than the competitive liquid fuels, valid for all sectors); (c) Discount on connection fees; (e) Heavy marketing through TV commercial, ads, etc., focusing on the increased efficiency, economy and environmental “friendliness” of natural gas; (f) Availability of natural gas through continuous development of networks (infrastructure); (g) Liberalization of electricity and natural gas markets.",Efficiency improvements of buildings (Energy consumption) ,unclear,CO2,158,table,"also in NC5 p.143, NC6 p.155, NC4 p.184, NC3 p.125",
Greece,GRC,NC7,1998,Promotion of natural gas in tertiary sector,"The actions for the promotion of NG are summarized to the following bullets:
(a) Fiscal measures; (b) Pricing (always lower price than the competitive liquid fuels, valid for all sectors); (c) Discount on connection fees; (e) Heavy
marketing through TV commercial, ads, etc., focusing on the increased efficiency, economy and environmental “friendliness” of natural gas; (f) Availability
of natural gas through continuous development of networks (infrastructure); (g) Liberalization of electricity and natural gas markets.","Efficiency improvement in
services/ tertiary sector
(Energy consumption);
Demand
management/reduction
(Energy consumption)",unclear,CO2,158,table,"also in NC5 p.143, NC6 p.155, NC4 p.184, NC3 p.125",
Greece,GRC,NC7,2008,Implementation of energy efficiency measures in Industry (National Energy Efficiency Action Plan)\,"Energy-efficiency improvements and CHP units in various areas of the industry sector:
- energy saving interventions (installing building envelope insulation, heat insulated window frames, energy class A air-conditioning units, energy saving light bulbs, highefficiency burners and boilers, exhaust heat recovery, etc.);
- developing and implementing systems for the recovery/saving and/or substitution of conventional energy and water in the production process;
- the procurement costs of equipment for energy self-production from RES and substitution of fuels with natural gas or LPG;
- bioclimatic and small-scale building interventions to save energy/heat/water;
- conducting energy audits and benchmarking;
- streamlining of equipment, upgrade of facilities and installation of new energy efficient technologies;
- education and training of staff. ","Efficiency improvement in industrial end-use sectors
(Energy consumption)",no,CO2,159,table,also in NC6 p.147,
Greece,GRC,NC7,2008,Implementation of energy efficiency measures in Residential and Tertiary Sector (National Energy Efficiency Action Plan),"Several actions are included in the Energy Efficiency National Action Plans concerning the conservation and rational use of energy in the residential and
tertiary sector. Apart from the introduction of natural gas and RES, the measures concern actions for the improvement of the thermal behavior of
residential sector buildings and promotion of energy efficiency appliances and heating equipment.","Efficiency improvements of
buildings (Energy
consumption); Efficiency
improvement in services/
tertiary sector (Energy
consumption); Efficiency
improvement of appliances
(Energy consumption)",no,CO2,159,table,also in NC6 p.145,
Greece,GRC,NC7,2002,2nd National Climate Change Programme,"Defines the additional policies and measures necessary for Greece to meet its Kyoto target, i.e., restricting the increase of GHG emissions to 25% over the time period 2008–2012, compared to base year emissions",,no,,104,text,,
Greece,GRC,NC7,2007,Energy Efficiency National Action Plan Measures,"Horizontal Measures
H1. Information system for monitoring energy efficiency improvement and achieved energy savings
H2. Programmes to provide financial support for investment in energy-saving technologies and research
H3. Tax exemptions of energy savings interventions
H4. Implementation of an energy management system (EMS) in the tertiary and public sectors
H5. Bioclimatic upgrades of public open spaces
Heating and cooling measures
H1. Installation of high-efficiency cogeneration of heat and power (CHP) systems with natural gas in hospitals
H2. Installation of CHP systems",,unclear,,110,text,,
Greece,GRC,NC7,2011,Energy Efficiency National Action Plan Measures,"Horizontal Measures
H1. Information system for monitoring energy efficiency improvement and achieved energy savings
H2. Programmes to provide financial support for investment in energy-saving technologies and research
H3. Tax exemptions of energy savings interventions
H4. Implementation of an energy management system (EMS) in the tertiary and public sectors
H5. Bioclimatic upgrades of public open spaces
Heating and cooling measures
H1. Installation of high-efficiency cogeneration of heat and power (CHP) systems with natural gas in hospitals
H2. Installation of CHP systems",Compliance to 2011 Energy Efficiency Plan and the Energy Efficiency Directive issued by the European Union (Directive 2012/27/EU on energy efficiency),unclear,,110,text,,
Greece,GRC,NC7,2014,Energy Efficiency National Action Plan Measures,"Horizontal Measures
H1. Information system for monitoring energy efficiency improvement and achieved energy savings
H2. Programmes to provide financial support for investment in energy-saving technologies and research
H3. Tax exemptions of energy savings interventions
H4. Implementation of an energy management system (EMS) in the tertiary and public sectors
H5. Bioclimatic upgrades of public open spaces
Heating and cooling measures
H1. Installation of high-efficiency cogeneration of heat and power (CHP) systems with natural gas in hospitals
H2. Installation of CHP systems",,unclear,,110,text,,
Greece,GRC,NC7,2010,Green Fund (Law 3889/2010),"This fund aims to raise funds for the environment. More specifically, this fund aims to enhance development through environmental protection, enhancement and restoration of the environment, climate change and support of the national environmental policy. The Green Fund introduced the first Program Guide in October 2011 and the total commitments-absorptions in 2011 amounted to EUR 60 million, while funding programs of the Green Fund for the year 2012 amounted to EUR 72 million. For the period 2015-2017, funding activities and projects of EUR 142.7 million have been approved and being executed.",,unclear,,113,text,,
Greece,GRC,NC7,1992,LIFE and Life+ programmes,"Since the launch of the LIFE programme by the European Commission in 1992, a total of 240 projects have been cofinanced in Greece. Of these, 153 focus on environmental
innovation, 70 on nature conservation and 11 on information and communication. ","LIFE is a financial instrument of the European Union and its main goal is to contribute to the implementation, updating and development of Community environmental policy and legislation, including the integration of the environmental and climate objectives into other policies, thereby contributing to the promotion of sustainable development.",unclear,,113,text,,
Greece,GRC,NC7,2005,Taxation of energy products (Law 3336/2005),"Energy taxes are levied within the framework of the 2003 EU Energy Taxation Directive (Directive 2003/96/EC of the Council of 27 October 2003 for restructuring the European Community framework on the taxation of energy products and electricity); the Directive has been transposed into Greek legislation with Law 3336/2005, in combination with the provisions of the National Customs Code (Law 2960/2001). Tax rates are generally significantly higher than the minimum levels prescribed in the Directive.
",,yes,CO2,115,text,,
Greece,GRC,NC7,2006,Promotion of renewable energy sources for electricity generation (2006-2015),"During 2006-2015, Greece promoted electricity generation from renewable energy sources through a FiT programme (Feed-in-Tariff), which boosted solar PV deployment in Greece. During 2012-2014, Greece suspended the licensing of new PV installations because the target of 2.200 MW of installed PVs by 2020 had been achieved.",,yes,CO2,127,text,,
Greece,GRC,NC7,2016,Promotion of renewable energy sources for electricity generation,"Law 4414/2016 introduced a new renewable energy source support programme in August 2016. The key objective of the law was to gradually integrate renewable energy sources and co-generation into the electricity market, with a view to the successive introduction of an electricity target model beginning in 2018 with 2 supports available: an FiP (Feed-in-Premium) above the electricity market price and a fixed price support.
",,yes,CO2,127,text,,
Greece,GRC,NC7,2017,Promotion of renewable energy sources for electricity generation,"A special case is small wind plants (below 50 kW), for which a dedicated FiT programme has already been foreseen under Law 4203/2013 and which is expected to become effective in 2017. ",,yes,CO2,127,text,,
Greece,GRC,NC7,2011,Financing of RES electricity support,"Law 4001/2011 created a special account to administer the FiT programme whose cost
amounted to around EUR 1.7 billion per year in 2014 and 2015 (with a peak of EUR 2 billionin 2013), for the entire country including NIIs.",,yes,CO2,128,text,,
Greece,GRC,NC7,2014,Subsidies to renewable energy source investment,"Until 2013, all renewable energy source technologies except solar PVs could apply for
investment subsidies. Law 4146/2013, amended by Article 68 of Law 4155/2013, limited subsidies only to investments in hydro, pumped hydro, hybrid, biomass, and biogas stations for all the investment plans submitted after 1 January 2014. However, all renewable energy source technologies are eligible for tax incentives. According to the new development law (4399/2016), investment subsidies will be granted to small hydro plants (up to 15 MW), high-efficiency co-generation plants using renewable energy sources, hybrid renewable energy source plants in the NIIs (up to 5 MW), production of heating and cooling from renewable energy sources, and high-efficiency district heating and cooling
",,yes,CO2,129,text,,
Greece,GRC,NC7,,Licensing and permitting of renewable energy source projects,The Greek government is implementing a review of the environmental impact assessment (EIA) framework with the aim to reduce the number of projects requiring an EIA from 22 000 per year to around 2 000-3 000 per year and to reduce the time needed for an EIA procedure from 20 months to 5-6 months through several measures.,,yes,CO2,129,text,,
Greece,GRC,NC7,2016,Heating and cooling ,The new Development Law 4399/2016 provides an income tax relief for co-generation plants and renewable energy source heating and cooling plants and also a stabilisation of the income tax coefficient.,,yes,CO2,130,text,,
Greece,GRC,NC6,2007,"Operational Programme ""Environment and Sustainable Development 2007-2013""","It is the Sectoral Program of the National Strategic Reference Framework 2007 - 2013 (NSRF) for Environment and Sustainable Development. The strategic objective of the program is the protection, enhancement and sustainable management of the environment. The budget of the program amounts to 2,117.6 million €.", ,unclear,,124,text,,
Greece,GRC,NC6,2010,Program for the Development of Interventions,"For the period 2010 to 2015, it is a product of government's efforts to implement a sustainable response to the challenges the country is facing both in environmental, energy and spatial level and in terms of ensuring long-term economic growth and exit from the economic crisis, setting a solid foundation for future generations.The Pillars of the Program for the Development of Interventions are:
Addressing climate change by switching to a competitive, low-carbon economy, Sustainable management and protection of natural resources, Quality of life enhancement, with respect to the environment, Strengthening of mechanisms and principles of environmental governance, ", ,unclear,,125,text,,
Greece,GRC,NC6,2010,Greek National Action Plan for Renewable Energy Sources (2010-2020),"According to Greek National Action Plan for Renewable Energy Sources the county’s energy sector is planed to be reformed so that 20% of the primary energy use is coming from RES by 2020 (indicative penetration level: 40% electricity, 20% heat and 10% transport). In the electricity sector, the installation of almost 4.7 GW of wind energy plants is foreseen, together with 3.6 GW of PVs, 0.2 GW of bio-energy installations (biogas and solid biomass), 3.7 GW of hydro plants and pumped storage plants.", ,unclear,CO2,137,text,,
Ireland,IRL,NC1,1992,Wind Farm creation ,"Several small wind turbines have been installed on remote islands around the Irish coast. Irel and's first wind farm with an installed capacity of 6.45 MW, and located at Bellacorick, Co. Mayo became operational in October, 1992.",electricity generation ,yes,CO2,no page,text,,
Ireland,IRL,NC2,,Hydro-Electricity,"The ESB hydro-electric schemes contribute 220MW or over 5.5% of national generating capacity (4000 MW). There are about 120 small hydro schemes, operated by independent producers, and 34 of these supply approximately 10 MW to the National Grid. ",electricity generation ,yes,CO2,31,text,also in NC1,
Ireland,IRL,NC2,1996,Planning Guidelines for Wind Energy,"To assist the development of the industry and the implementation of Government policy in relation to the development of renewable sources of energy, the Department of the Environment published Planning Guidelines on Wind Farm Development in September 1996 to assist planning authorities, An Bord Pleanála (the independent planning appeals board), developers and the general public by providing guidance on dealing with wind farms within the planning system.", ,no,CO2,30,text,,
Ireland,IRL,NC2,1993,Pilot Projects,An aspect of Ireland's involvement in the EU's Altener programme is participation by Irish bodies in projects funded by Altener. [FROM NC1: This five-year programme is aimed at limiting CO2 emissions by encouraging the greater use of renewable energy sources to meet EC objectives]., ,unclear,CO2,30,text,also in NC1,
Ireland,IRL,NC2,1995,Renewable Energy Information Office,"In 1995, the Renewable Energy Information Office (REIO) was established as a national service of the Irish Energy Centre. The Office is charged with the task of promoting renewable energy development and providing information on all aspects of renewable energy use", ,no,CO2,30,text,,
Ireland,IRL,NC2,1997,Alternative Energy Requirement 3 (AER 3),"The first renewable energy competition (AER 3) subsequent to the long term strategy was announced in March 1997. This competition seeks to secure an additional 100 MW of installed electricity generation capacity from renewables. In addition, AER 3 also seeks tenders for the construction and operation of the wave energy to electricity pilot plan",Renewable energy improvement,yes,CO2,29,text,,
Ireland,IRL,NC2,1995,Alternative Energy Requirement 2 (AER 2),"In December 1995, a second AER competition was launched to support the development of biomass and or 'waste to energy' technology. The competition is now complete and has resulted in the offer of a contract for the construction and operation of a waste fuelled electricity generation plant of 30MW installed capacity. ",Development of biomass and or 'waste to energy' technologies,yes,CO2,29,text,,
Ireland,IRL,NC2,1995,Alternative Energy Requirement Scheme (AER 1),"The AER 1 competition resulted in the offer of 34 Power Purchase Agreements for an additional electricity generation capacity of 111 MW. This scheme comprised a combination of price support and grant aid, and the cost, estimated at £70 million will be transparently identified and passed on to the consumer by the ESB. ",Renewable energy improvement,yes,CO2,29,text,also in NC1 (planned),
Ireland,IRL,NC2,,Fuel Switching to Natural Gas,"Bord Gáis Éireann (BGÉ), the natural gas supplier in Ireland, is pursuing an aggressive marketing campaign to extend the use of gas in the domestic market. Moreover, the completion of the Ireland/UK natural gas interconnector, in commercial use since 1995, has ensured that natural gas will be available in Ireland after the depletion of the Kinsale Head/Ballycotton reserves, expected in about 2003. ",Electicity supply,yes,CO2,28,text,also in NC1 (planned),
Ireland,IRL,NC2,,Improvement in Peat Conversion Efficiencies,"Construction of a new 120 megawatt peat-fired power station with EU financial support, generating electricity with the best international environmental and generation standards.  ",electricity generation ,yes,CO2,27,text,also in NC1 (planned),
Ireland,IRL,NC2,,Supply-Side Efficiency Activities,"Activities: 1. An ongoing programme to maintain and improve generation plant efficiency has led to a gradual improvement in the overall system generating
efficiency from 35.1% in 1989 to 35.74% in 1999. 2.Planning the anticipated  commissioning in 1999 of a new highly efficient gas-fired Combined Cycle Plan 3. A recently commenced transmission and distribution system renewal programme. ",,yes,CO2,27,text,,
Ireland,IRL,NC2,1991,Demand Side Management,"The Electricity Supply Board (ESB), has undertaken Demand Side Management (DSM) activities since 1991 and has substantially achieved the DSM programme target of limiting by 1% per annum the overall growth rate of electricity. ncreased demand in the period 1991-96 was contained to 4.95% p.a. Key strategies used are: Efficiency Gain Programmes, Combined Heat and Power (CHP) promotion, Electricity tariffs.", ,unclear,CO2,26,text,also in NC1 (planned),
Ireland,IRL,NC2,1992,EU SAVE: Public Lighting,"The advent of more modern, energy efficient public lighting
allows reduced energy consumption while improving the
quality of lighting on roads and in residential areas. When
upgrading existing lighting stock on roads, local authorities
are recommended to replace old lighting with energy efficient
units.",Energy efficiency,no,CO2,26,text,also in NC1 (planned),
Ireland,IRL,NC2,,EU SAVE: Local Energy Agencies,"An element of SAVE II is directed towards regional and local public bodies and is aimed at making the most of local energy sources, improving energy efficiency and seeking optimum energy supply conditions for the regional an urban areas.",Energy efficiency,no,CO2,26,text,,
Ireland,IRL,NC2,1992,EU SAVE: Pilot/Demonstration Projects,"Calls for pilot project proposals, to advance the theme of energy efficiency, are issued on an annual basis. Sixteen Irish SAVE Project Proposals have been adopted for EU financial support to date with the level of support per project in the region of 35%-60% (see Appendix 2 for details of each project).",Energy efficiency,no,CO2,26,text,also in NC1 (planned),
Ireland,IRL,NC2,,EU SAVE: Labelling,"The implementation of energy efficiency labelling of domestic appliances such as fridges, freezers, and washing machines in line with EU legislation will contribute to a reduction in the use of energy and reduce CO2 emissions",Energy efficiency ,no,CO2,25,text,also in NC1 (planned),
Ireland,IRL,NC2,,EU SAVE: Heating System Inspection and Maintenance,"A number of companies, including Bord Gáis Éireann, operate heating installation inspection and maintenance schemes (including boiler inspections) for their customers.The overall aim of all of the boiler programmes is to target and create awareness among boiler users in all sectors",Energy efficiency ,no,CO2,25,text,also in NC1 (planned),
Ireland,IRL,NC2,,Implementation of EU SAVE Programme,"The SAVE programme is designed to promote the rational use of energy through the development of integrated energy saving policies both at community and national levels. Under the programme, progress is being made in the establishment of energy efficiency standards and regulations, national measures are being supported, and a co-ordinated information network is being established. ",Energy efficiency,no,CO2,25,text,,
Ireland,IRL,NC2,1988,Energy Action,"Energy Action is a Dublin based charity, established in 1988, and who offer an energy conservation service to the needy and elderly free of charge. The Energy Action Programme is focused on simple cost-effective improvements aimed at improving the living conditions of the poor and elderly. ", ,no,CO2,25,text,,
Ireland,IRL,NC2,,Thermie Targeted Projects,Technical innovation in the housing market is being facilitated under the EU Thermie Programme. Financial institutions working with the Irish Energy Centre and public and private sector partners have commenced 2 projects (560 units on 16 sites). The projects aim to demonstrate technologies which are capable of improving on current regulations and practice by up to 40%., ,no,CO2,25,text,,
Ireland,IRL,NC2,1997,Local Authority Buildings and Public Housing,"A circular, ""Energy Conservation in Local Authority Dwellings"", has been issued to public housing authorities by the Department of the Environment. Public housing authorities have been requested, in the context of the management of their housing stocks, to give greater priority to the need for increasing energy efficiency in their rented dwellings. A series of guidelines is being prepared on aspects of design
and construction of social housing (i.e., local authority and voluntary housing).", ,no,CO2,24,text,,
Ireland,IRL,NC2,1991,Building Regulations,"Specific measures were included in the 1991 Building Regulations aimed at the conservation of fuel and energy. The 1991 Regulations provided for new higher standards of thermal insulation to apply to all new buildings (except for very small buildings and buildings requiring little or no heating) and they also specify energy saving measures aimed at controlling the output of space heating and limiting the heat loss from hot water storage systems, pipes and ducts.",Energy efficiency in buildings,no,CO2,24,text,,
Ireland,IRL,NC2,,Energy Awareness Week,"An annual Energy Awareness Week is organised by the Irish
Energy Centre, in association with the Energy Advisory
Board. The week aims to provide consumers with a clear
understanding of the benefits of energy management and the
opportunity to make real behavioural change", ,no,CO2,23,text,,
Ireland,IRL,NC2,1995,Energy Conservation Programme for State Buildings,"An energy conservation programme for Government Buildings was launched, involving close co-operation between the Irish Energy Centre, the Office of Public Works and the Department of Transport, Energy and Communications. The aim of the programme is to reduce energy consumption in State Buildings by 10% over a 5 year period and with savings of £200,000 already achieved at the end of 1996, progress is on target.", ,unclear,CO2,23,text,,
Ireland,IRL,NC2,,Technical Advice and Support for Priority Technologies,,,no,CO2,23,text,,
Ireland,IRL,NC2,,Industrial Annual Self-Audit and Statement of Energy Accounts,"The Self Audit Scheme is a voluntary agreement to which companies subscribe, centring on a public commitment to good energy management practices. The scheme, established in 1994, is administered by the IEC (Irish Energy Centre).  ", ,no,CO2,23,text,,
Ireland,IRL,NC2,,Energy Efficiency Investment Support Scheme,"The Energy Efficiency Investment Support Scheme (EEISS) provides grant assistance to energy users in the industrial, commercial and institutional sectors for investment in energy efficient technologies. A grant of up to 40% of the cost of the measure subject to a maximum of £100,000 is available from the Irish Energy Centre", ,no,CO2,22,text,,
Ireland,IRL,NC2,,Energy Audit Scheme,"The Irish Energy Centre's Energy Audit Grant Scheme (EAGS) provides grant support to organisations that engage an outside consultant to carry out site energy audits and surveys. Financial support of up to 40% of the cost of the audit, subject to a maximum of £5,000 is available", ,no,CO2,22,text,,
Ireland,IRL,NC2,,Establishment of Irish Energy Centre (IEC),"The Irish Energy Centre (IEC) is a joint initiative of the Department of Transport, Energy and Communications and Forbairt. The Centre commenced operations during September, 1994 and is charged with the task of coordinating and implementing the national energy conservation programme. [Later became SEI]", ,no,,21,text,also in NC1,
Ireland,IRL,NC3,,Infrastructure Investment,"The Electricity Supply Board (ESB) is currently undertaking a massive programme of investment aimed at providing sufficient capacity for economic and industrial development, improving voltage quality, reducing network losses and improving supply continuity.", ,no,CO2,22,text,,
Ireland,IRL,NC3,,Combined Heat and Power (CHP) ,Government policy to promote the deployment of CHP in Ireland resulted in the doubling of installed capacity during the 1990s ,electricity generation ,yes,CO2,21,text,"also in NC2 p.30, planned in NC1",
Ireland,IRL,NC3,,Industry and Commercial R&D,"Due to the historical underprovision of R&D in the Irish energy economy, there has been a failure to effectively exploit possible energy savings from the full range of opportunities within these sectors. This programme aims to address that failure by supporting the research, development, adaptation and demonstration of new energy efficient technologies, management systems and policy instruments, focused on creating a least-cost path to achieving reduced CO2 emissions from these competitive market sectors", ,no,CO2,21,text,,
Ireland,IRL,NC3,,House of Tommorrow R&D,"This programme stimulates widespread uptake of superior sustainable energy planning, design, specification and construction practices in both the new home building and home improvement markets", ,no,CO2,21,text,,
Ireland,IRL,NC3,,"The Large Industry Energy Network (LIEN)
",Such a network supports 78 of the largest industrial sites in Ireland dedicated to reducing their energy intensity, ,no,CO2,20,text,,
Ireland,IRL,NC3,,Public Sector,"This programme enables significant energy efficiency improvements to be made in the design and specification of newbuild and refurbishment construction for which, under other NDP programmes, approximately 1.9 billion has been allocated.The programme has made substantial progress in achieving its 2006 NDP target, with 62 design studies approved, 33 model solutions approved and seven model solutions completed", ,no,CO2,20,text,,
Ireland,IRL,NC3,,Low Income Households,This programme contributes to the establishment and implementation of a national plan of action to address fuel poverty in low-income households, ,no,CO2,20,text,,
Ireland,IRL,NC3,,Home Energy Rating,"This programme addresses the need for a comprehensive, nationally recognised Home Energy Rating system, with the aim of making energy efficiency in homes an explicit and important factor in house purchase and renovation decisions",Energy efficiency of buildings,no,CO2,20,text,"planned, also present in NC2 p.24",
Ireland,IRL,NC3,,Sustainable Energy Ireland (SEI) establishment,"A new state body established with a mandate to promote and assist environmentally and economically sustainable production, supply and use of energy across all sectors of the economy. SEI provides the institutional capacity to design and implement energy efficiency and renewable energy policies in pursuit of that objective. SEI and its programmes are funded under the current National Development Plan and the Economic and Social Infrastructure Operational Programme to the end of 2006.", ,no,CO2,19,text,,
Ireland,IRL,NC3,2003,Alternative Energy Requirement Series VI (AER),"Competitions set to achieve the RES national targets. Besides the contracts offered for two offshore wind demonstration projects in AER VI, construction of Phase 1 (25.2 MW) of an offshore project at the Arklow Banks is currently underway under the liberalised green electricity mechanism. Seven 3.6 Megawatt turbines have been installed approximately 10km from the Wicklow coastline. Commissioning of the units is currently in progress and the project is expected to begin producing electricity before the end of the 2003",electricity generation,yes,CO2,18,text,,
Ireland,IRL,NC3,2001,Alternative Energy Requirement Series V (AER),"Competitions set to achieve the RES national target to add 500 MW of new renewable energy-based electricity generating plant by 2005. This target
has been increased by an additional 140 MW onshore and specific categories of biomass-fed CHP (28 MW) and two 25 MW projects in offshore wind category to be built by 2006. At the end of October 2003, five AER V projects (23MW) had been completed and a further 20 projects (150MW) were either under construction or are due to commence works before the end of the year. In addition, a further 40MW of wind capacity has been added to the grid since the beginning of January 2002 under the liberalised green electricity market mechanism.",electricity generation,yes,CO2,18,text,,
Ireland,IRL,NC4,,Intelligent Energy Europe programme,"The EU Intelligent Energy Europe (IEE) Programme is aimed at tackling mainly nontechnological barriers to the market uptake of energy efficiency, renewable energy and more sustainable transport measures. It covers three thematic areas: energy efficiency (SAVE); renewable energy sources (ALTENER); and energy aspects of transport (STEER).", ,unclear,CO2,29,text,,
Ireland,IRL,NC4,,Regulation Targets,"As part of the energy industry restructuring, the Commission for Energy Regulation sets measurable targets for ESB Customer Supply to achieve energy efficiency gains in end-use of electricity",efficiency improvement,no,CO2,29,text,,
Ireland,IRL,NC4,,Electricity Supply Board (ESB) Customer Supply Energy Efficiency Programm,ESB Customer Supply has been directly engaged in promoting the benefits of greater energy efficiency to its customer since 1991. The Winter Peak Demand Reduction Scheme WPDRS) was introduced from Winter 2003/04 as an incentive to business customers to reduce electricity consumption during the power system's peak hours (5pm - 7pm) in winter months (November - February) ,efficiency improvement,no,CO2,28,text,,
Ireland,IRL,NC4,,Promotion of Efficient Energy Use by Energy Suppliers,Compliance with the EU Directive on energy efficiency in end-use and energy services requires energy suppliers to offer electricity and other energy supplies to end-use consumers as part of a comprehensive package of energy services,,,,28,text,,
Ireland,IRL,NC4,2002,Demand Side Management,"The establishment of Sustainable Energy Ireland (SEI) in 2002 means there is now a dedicated body to promote and assist environmentally and economically sustainable production, supply and use of energy across all sectors of the economy. SEI programmes include the Large Industry Energy Network (LIEN), a voluntary networking initiative of 85 of the largest commercial energy users in Ireland; the Energy Agreements Programme, which assists companies achieve certification to the Irish Standard on Energy Management; and the Public Sector Investment Programme", ,unclear,,28,text,,
Ireland,IRL,NC4,,Co-Firing in Power Generation,"A technical feasibility trial conducted in 2003 successfully burned wood biomass with peat at concentrations up to 32%, with no negative impact on boiler efficiency", ,yes,"CO2, NOX, SOX ",27,text,,
Ireland,IRL,NC4,,Wave / Ocean Energy,"The Government plans to launch an Ocean Energy Development Strategy, to be led by Sustainable Energy Ireland and the Marine Institute, to promote the development of an ocean energy strategy in Ireland, including support for initial research and development through to full commercial application",electricity generation ,yes,CO2,26,text,,
Ireland,IRL,NC4,,Renewable Energy,"The Government’s decision in 2006 to move to a new Renewable Energy Feed in Tariff (REFIT), which replaces the previous competitive tendering programme, will help to stimulate further development of the renewables market, not just for wind energy, but for a range of other technologies, including biomass and biomass-powered CHP",electricity generation ,yes,CO2,26,text,,
Ireland,IRL,NC4,,Gas production and distribution,Expansion of the gas transmission network in the Irish territory,electricity generation ,yes,,25,text,,
Ireland,IRL,NC4,,Fuel switching,"A broad set of measures aimed at using less carbon intensive fuels throughout the economy including power generation, such as substituting for coal, peat and oil; expansion of combined heat and power and renewables; and expansion of the gas supply network", ,yes,CO2,21,text,,
Ireland,IRL,NC4,,Renewable Energy (RE)R&D Programme,"The goal of the Renewable Energy Research, Development and Demonstration programme (RERD&D) is to accelerate the deployment rate of renewable-energy technology and thus improve implementation of renewable energy in the Irish market",Renewable Energy,no,CO2,50,text,,
Ireland,IRL,NC4,,Small- and Micro- Scale Generation Pilot Field Trials,"The key objectives of SEI’s Small- and Micro- Scale Generation Programme are to assess technical, financial and regulatory issues surrounding the deployment of small and micro generation technologies",Renewable Energy,no,CO2,51,text,,
Ireland,IRL,NC4,,Ocean Energy Development Unit,The Unit specifically will advance the deployment of ocean energy technologies in Ireland by increasing the capacity for relevant research and development both in academic institutions and commercial entities in Ireland,Renewable Energy,no,CO2,51,text,,
Ireland,IRL,NC7,2000,Sustainable Energy Authority of Ireland Large Industry Programme,"The Large Industry Energy Network (LIEN) is a voluntary network, facilitated by the Sustainable Energy Authority of Ireland, of companies working to maintain strong energy management and environmental protection practices.",Efficiency improvement in industrial end-use sectors (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",369,table,,
Ireland,IRL,NC7,2000,Warmer Homes Scheme,The measure targets vulnerable and fuel poor homes and provides funding for the installation of domestic energy efficiency upgrades via regional not-for-profit organisations and private contractors.,Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",375,table,measure no longer in place,
Ireland,IRL,NC7,2001,Public Sector Building Demonstration Programme,"The Public Sector Building Demonstration Programme offered financial support to public and commercial sector organisations to stimulate the innovative application of sustainable energy design strategies, technologies and services in new and retrofit projects, acting as both an exemplar for good practice and as a demand leader for the services and technologies involved","Efficiency improvements of buildings (Energy consumption), Efficiency improvement in services/ tertiary sector (Energy consumption)",no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",372,table,,
Ireland,IRL,NC7,2002,Building Regulations - Part L Conservation of Fuel and Energy in Dwellings,The measure imposes minimum efficiency standards for new dwellings from 2002 onwards.,EXPIRED - Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",373,table,,
Ireland,IRL,NC7,2005,Building Regulations Part L Conservation of Fuel and Energy - Buildings other than dwellings,The measure imposes minimum efficiency standards for new Buildings other than Dwellings,EXPIRED - Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",373,table,,
