Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Loans from the National Fund for Environmental Protection and Water Management,https://www.iea.org/policies/958-loans-from-the-national-fund-for-environmental-protection-and-water-management,"National Fund approves priority list and then prepares programmes mostly based on giving away loans. Areas of support include clean air programme, purchase of electricity car, coach or taxi, small water retention, energy efficiency, smart street lighting and energy management systems in public buildings.",IEA/IRENA Renewables Policies Database,10 June 2021,https://www.nfosigw.gov.pl/oferta-finansowania/srodki-krajowe/programy-priorytetowe/,Digitalisation|Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance","Buildings|Residential|Services|Industry|SMEs|Transport|Power, Heat and Utilities|Power generation|Agriculture, Fisheries, Forestry and Hunting|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation",Exterior lighting (incl. street)|Appliances|Energy management systems|Industry sector-specific processes and technologies|Manufacuturing technologies and systems|Wind|Solar PV|Geothermal electricity|Hydropower (excl. pumped hydro)|Geothermal|Solar|Digital technologies and systems,Undefined,Poland,2015,In force,National,POL
MOVEA Plan/Promotion of Alternative Energy Vehicles,https://www.iea.org/policies/2644-movea-planpromotion-of-alternative-energy-vehicles,"The Plan to Boost Mobility with Alternative Energy Vehicles (MOVEA Plan) is a measure which forms part of the Strategy for the Promotion of Alternative Energy Vehicles (VEA) in Spain (2014-2020), designed and started up by the Ministry of Industry, Energy and Tourism, in collaboration with other entities and Ministries in order to unify the different programmes and plans intended to support the acquisition of the most efficient vehicles which have been developed until now. The MOVEA Plan, withe a budget of €16.6 million, intended to promote the acquisition of vehicles with alternative energies, as well as the implementation of recharging points for electric vehicles in zones with public access. To achieve this, it is intended to provide the direct concession of subsidies, whose regulation is made through Royal Decree 1078/2015, of November 27.   In view of the high demand generated by the MOVEA 2016 Plan, it was considered appropriate and necessary to provide it with continuity in order to promote the acquisition of alternative energy vehicles through the regulation of the direct granting of subsidies. It is in this context that the MOVEA 2017 Plan has been approved by the Council of Ministers of June 17, 2017 in order to incentivise the purchase of alternative energy vehicles in Spain as well as to implement charging points for electric vehicles in public access areas throughout Spain. The budget assigned to this second edition of the plan has been €14.26M, which is distributed attending to the type of vehicle and the propulsion technology.",Undefined,5 November 2017,http://www.mineco.gob.es/portal/site/mineco/menuitem.b351e5088334073d2e452659223041a0/?vgnextoid=c7aa175bbdca4610VgnVCM1000001d04140aRCRD,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Spain,2015,Ended,National,ESP
Shenzhen EVSE and insurance incentive,https://www.iea.org/policies/8542-shenzhen-evse-and-insurance-incentive,"Fiscal subsidy and tax exemption for the PEV ancillary facilities: The local governments encourage the charging equipment purchases and installations. For example, in the city of Shenzhen, the government directly subsidizes the PEV buyers ? 10,000 CNY to ? 20,000 CNY ($1,541 to $3,082 USD) for vehicle insurance, installation and purchase for home charging outlets",Undefined,17 May 2021,https://info.ornl.gov/sites/publications/files/Pub72210.pdf,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure,Undefined,People's Republic Of China,2015,In force,City/Municipal,CHN
Subsidy per vehicle,https://www.iea.org/policies/3264-subsidy-per-vehicle,"- Subsidy per vehicle (2016, 2017) (unit : KRW)- [government] BEV 14,000,000, PHEV 5,000,000, HEV 1,000,000, FCV 27,500,000- [local] additional 3,000,000-12,000,000 ('16 : 3,000,000~8,000,000) - In 2015, the Korean government has spent 30,000 million KRW on PHEV purchase subsidies, and 15,000 million KRW in 2016 (30,000 and 30,000 for HEVs, respectively) - In 2015, the Korean government has spent 80,000 million KRW on BEV purchase subsidies, and 105,000 million KRW in 2016",Undefined,5 November 2017,Undefined,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Korea,2015,In force,National,KOR
Advanced Propulsion Centre,https://www.iea.org/policies/2713-advanced-propulsion-centre,This builds on the £1bn joint government/industry commitment on an Advanced Propulsion Centre announced last summer and will focus on the technologies needed to deliver mass market ultra low emission vehicle motoring,Undefined,24 August 2021,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/307019/ulev-2015-2020.pdf,Energy Efficiency|Technology R&D and innovation,"Payments, finance and taxation|Operational funding for institutions|Payments and transfers",Transport|Road transport,Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,United Kingdom,2014,In force,National,GBR
Chilean 2014 Tax Reform (introduced carbon taxes),https://www.iea.org/policies/6616-chilean-2014-tax-reform-introduced-carbon-taxes,"The tax reform dictates carbon taxation of new car purchases based on Nitrogen oxide (NOx) (heavy) and Field Electron (FE) (more light) emissions, according to Fuel Economy labelling information. The reform also includes a green tax, a US$5 tax per ton of CO2 emitted from thermal powerplants. The carbon tax does not alter the merit order of power generation plantsLaw 20.780 was a comprehensive tax reform approved by the Chilean Congress on the 26th of September, 2014. In relation to the energy sector, this reform introduced an emissions tax for both mobile and fixed sources. First, it dictated carbon taxation for new cars, according to their NOx emissions. Second, defined a carbon tax of 5USD/tCO2 applied to fixed emissions sources. Third, for fixed emissions sources (boilers and turbines) of 50 thermal MW capacity or more, emissions of PM, NOx and SO2 are taxed. These emissions sources are also the ones subject to the CO2 tax.",Undefined,12 May 2021,https://www.thegef.org/news/chile-puts-carbon-tax-vehicles-promotes-efficiency,Energy Efficiency,Payments|finance and taxation,Transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Vehicle type,Undefined,Chile,2014,In force,National,CHL
Local subsidy funds from vehicle purchase tax revenue.,https://www.iea.org/policies/2633-local-subsidy-funds-from-vehicle-purchase-tax-revenue,"The fund has been set up to facilitate the sustainable and continuous development of the transport industry by re-investing revenue from vehicle purchase taxes into local transport projects. Projects covered within the scope of expenditure for vehicle purchase tax funds include:    Key transport projects General road construction projects Distaster recovery and reconstruction projects in provinces Road damage repair and maintenance projects Retirement and renewal projects for old rural ferries Energy conservation and emission reduction projects in the transport sector (low-carbon transport options and technologies) Pilot projects for road transport and transporation  Inland river channel development projects Old car scrapping renewal projects Other transport projects approved by the State Council  For energy conservation projects, the level of subsidies is determined based on the impact of the projects in terms of energy conservation, emission reduction and wider social benefits.",Undefined,21 October 2019,http://www.mof.gov.cn/gp/xxgkml/jjjss/201412/t20141205_2512130.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Water transport,Road vehicles|Vessels|Transport technologies|Other transport infrastructure,Undefined,People's Republic Of China,2014,In force,National,CHN
"Economy of 25 April 2013 on the detailed conditions, manner and procedure of granting funding of the implementation of activities related to the production of biocomponents, liquid biofuels or other renewable",https://www.iea.org/policies/5494-economy-of-25-april-2013-on-the-detailed-conditions-manner-and-procedure-of-granting-funding-of-the-implementation-of-activities-related-to-the-production-of-biocomponents-liquid-biofuels-or-other-renewable,"The regulation of Ministry of Economy of 25 April 2013  on the detailed conditions, manner and procedure of granting funding of the implementation of activities related to the production of biocomponents, liquid biofuels or other renewable fuels and the use them in transport  provides the possibility of funding of the following actions:  Investments in the production of biocomponents, liquid biofuels or other renewable fuels;  Support of ecological transport through the funding of public transport operating in urban agglomerations, in spas, in areas that protect the environment, which use liquid biofuels or other renewable fuels in the amount of at least twice the objectives set out in the National Indicative Target (NIT);  Research related to the development of new types of liquid biofuels or other renewable fuels, and relevant new constructional solutions, as well as operational implementations;  Educational programs that promote widespread use of liquid biofuels or other renewable fuels;  Promotion of the production and use of biocomponents and liquid biofuels;  Support for manufacturers of biocomponents and fuel producers;  Parking charges for vehicles fueled with liquid biofuels;  Purchase of new vehicles fueled with liquid biofuels.   The funding will be provided in the form of subsidy on the basis of the grant agreement signed between the Ministry of Economy, and the beneficiary selected in a course of designed contest . Expenses related to the above mentioned activities will be specified in the Budget Act, in the amount of 1.5% planned in the previous year, revenues from excise duties on motor fuels. The level of funding varies for each activity and is specifically defined in the Regulation.",IEA/IRENA Renewables Policies Database,14 September 2020,http://isap.sejm.gov.pl/isap.nsf/DocDetails.xsp?id=WDU20130000609,Renewable Energy,Payments and transfers,Transport,Undefined,Undefined,Poland,2013,Ended,National,POL
Infrastructure deployment Barcelona,https://www.iea.org/policies/3107-infrastructure-deployment-barcelona,"In the city of Barcelona, there is a working number of 303 public recharging points currently, 121 of these are located in streets (including 15 quick charge points), andthe other 182 are located in covered parking facilities (74 % for cars and 26 % formotorbikes).",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/HEV_TCP_Report2017-web.pdf p. 282,Cities|Energy Efficiency,"Payments, finance and taxation|Investment in assets|Finance",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure,Undefined,Spain,2013,In force,City/Municipal,ESP
Interim Measures for the Administration of Voluntary Greenhouse Gas Emission Reduction Trading,https://www.iea.org/policies/2010-interim-measures-for-the-administration-of-voluntary-greenhouse-gas-emission-reduction-trading,"The Chinese certified emission reduction credit scheme (CCER) comes to China by way of the Clean Development Mechanisms (CDM) established as one of the Flexible Mechanisms defined in the Kyoto Protocol since 2005. It has enabled emission-reduction projects in developing countries to earn CER credits. This mandate established by the NDRC operated in five major cities including Beijing, Tianjin, Shanghai, Shenzhen, and Chonqing and under two provinces Guangdong and Hubei. The governments of these provinces determine the local emissions caps, set up local trading rules, and issue emissions allowances to enterprises with their jurisdiction.As of 2013 118.1 million tonnes of CO2-equivalent have been traded at a range of US$1.7 to US$5.7 per tonne. The scheme resembles the CDM  and must adopt NDRC methodologies approved by the NDRC.Six GHGs are covered including: CO2, CH4, N2O, HFCs, PFCs, and SF6.Third party validation is required as well as project developers must demonstrate additionality and potential sustainability benefits before the projet is approved and registered. The document assessing requests  and registration for project activity is called the CCER Project Design Document (PDD).This gave way to the Voluntary Greenhouse Gas Emission Reduction Trading Registry. The first transaction  to be recorded was in March 2015 from Guangdong Province of 68.7 million tonnes of CO2-equivalent in 6 of 7 ETS locations. There  currently lacks information on Chongqing and Shanghai accounts for 36.7 per cent of the total trading volumes. CCERs were traded at an average price of US$2.5 in Beijing and US$3.7 in Shanghai.   The China Certified Emission Reduction Exchange Info-Platform is found on http://cdm.ccchina.gov.cn/ccer.aspx and run by the NDRC's Department of Climate Change. A total of 2296 CCER Projects have been approved by third-parties and their PDDs are openly available from the platform.",IEA/IRENA Renewables Policies Database,16 April 2021,http://www.forestry.gov.cn/zlszz/4249/92103/9.html,Energy Efficiency|Renewable Energy,"Strategic plans|Regulation|Payments, finance and taxation|Performance-based policies|Emission Trading Scheme|Framework legislation|Monitoring|Targets, plans and framework legislation","Buildings|Services|Industry|Transport|Power, Heat and Utilities",Industry sector-specific processes and technologies|Manufacuturing technologies and systems,Undefined,People's Republic Of China,2013,In force,National,CHN
Low emission urban transport - GAZELA BIS,https://www.iea.org/policies/865-low-emission-urban-transport-gazela-bis,"Aim of the programme is to reduce or avoid carbon emissions by financing projects aiming at the reduction of energy and fuel consumption in urban transport.The total cost of project should not be less that 8 mln PLN (ca. 1,9 mln EUR). The beneficiaries of the program can be: 1) municipalities;2) utility companies that maintain the tasks of local public transport of municipalities;3) other service providers in the local urban transport under a contract with the municipality. Types of projects:  Grants may be awarded for the implementation of projects aimed at reducing energy and fuel consumption in transportation. The program includes the following activities: 1) the rolling stock such as: a) the purchase of new hybrid buses fuelled by CNG,b) training of drivers of public transport vehicles on low-emission fleet service, 2) infrastructure and management such as: a) the modernization and construction of refuelling service stations of public transport vehicles to adapt to the hybrid buses CNG fuelled,b) the modernization and construction of bike paths,c) the modernization and construction of bus lanes,d) the modernization and construction of car parks ""Park and Ride""e) the implementation of urban transport management systems,f) the implementation of urban bicycle system.",Undefined,14 September 2020,http://www.nfosigw.gov.pl/oferta-finansowania/srodki-krajowe/programy-priorytetowe/poprawa-jakosci-powietrza/#c3,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Mass road transit,Undefined,Undefined,Poland,2013,Ended,National,POL
PIMA Air Program,https://www.iea.org/policies/3167-pima-air-program,"Another program launched by national government was “Plan PIMA Air”, a carscrapping program for commercial vehicles which has been running from February2013.There are incentives of 1,000 EUR for the acquisition of vans up to 2,500 kgweight and of vans over 2,500 kg, the incentives are 2,000 EUR per van. SinceOctober 25th, 2013, electric motorcycles, scooters, and bikes were also included tothis incentives program (“Plan PIMA Air 2”), with incentives up to 400 EUR, 250EUR, and 200 EUR respectively per category.Incentives of Plan PIMA Air can be added to the MOVELE Program incentives,but not to the PIVE Program.During 2014, the third edition of the PIMA Air program (“PIMA Air 3”) wasrunning, funded with a budget of 5.5 million EUR, and a number of 2,671commercial vehicles were renewed and a number of 2,468 electric bicycles wereacquired in this frame.",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/Report2015_WEB.pdf p. 236,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Commercial vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Spain,2013,Ended,National,ESP
Plan to promote Environment,https://www.iea.org/policies/1488-plan-to-promote-environment,"Plans to Promote the Environment with Efficient Vehicles (PIMA Aire) (PIMA Aire, PIMA Aire 2, PIMA Aire 3 and PIMA Aire 4), with an overall budget of €53.4 million, were meant to improve air quality in Spain with the renewal of the commercial vehicle fleet and its replacement with more efficient models and with lower environmental impact, as well as the purchase of electric and hybrid motorbikes, mopeds, and electric motor pedal-assist bikes. The objective of the PIMA Air Plan was to reduce CO2‚ and NOx‚ emission and particle pollution by subsidies for renovating the commercial vehicle fleets.  The main beneficiaries of this initiativewere self-employed professionals and businesses, who will be encouraged to replace their old light commercial vehicles with more efficient.  The Plan established the rules for the direct aid for the purchase of new and used vehicles (up to one year old) up to 3.5 tonnes maximum authorized weight.   The amount of aid amounted to EUR 1 000‚ per vehicle, for vehicles of weight less than 2 500 kg and EUR 2 000€‚ for vehicles of weight over 2 500 kg.",Undefined,5 November 2017,"Royal Decree 89/2013 of 8 February; Royal Decree 631/2013 of 2 August;Royal Decree 831/2013 of 25 October;Royal Decree 128/2014 of 28 February; Royal Decree 989/2014, of 28 November",Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Spain,2013,Ended,National,ESP
Public Procurement Rules for Federal Administrations and Public Services,https://www.iea.org/policies/1609-public-procurement-rules-for-federal-administrations-and-public-services,"The Belgian Federal government subscribes to the goal of the European Council and the European commission of 50% sustainable procurement procedures for all federal public procurements. Sustainable procurement procedures are compliant with the instructions given in the federal circulars concerning sustainable public procurement. There is a guide for public procurement of supplies and services available for the contracting authorities of the Federal Public Services. In this guide voluntary guidelines and technical requirements are included to promote and improve energy efficiency.Brussels Capital regionSince 2009, the Brussels Government has taken measures to include ecological and sustainable development criteria in its procurement contracts. These measures are mandatory for the regional public administrations and optional for the municipal public administrations.Standard specifications, a help desk and a central sustainable procurement office have been put in place for these administrations. The COBRACE recently increased the list of criteria which have to be included in public purchases, such as the energy performance of buildings.",Undefined,5 November 2017,http://www.gidsvoorduurzameaankopen.be,Energy Efficiency,"Payments, finance and taxation|Public procurement|Payments and transfers",Transport|Economy-wide (Multi-sector),Undefined,Undefined,Belgium,2013,In force,National,BEL
Efficient Vehicle Incentives Programme,https://www.iea.org/policies/2258-efficient-vehicle-incentives-programme,"The Efficient Vehicle Incentives Programme (PIVE) aims to support the continued modernisation of the nation's motor vehicle stock. The Plan aims to promote substitution of vehicles, over 10 years old in the case of passenger cars (category M1), and more than seven years in the case of light commercial vehicles (N1), and to modernise the fleet by encouraging the purchase of new energy-efficient vehicles.",Undefined,5 November 2017,https://www.idae.es/conozcanos/proyectos-de-excelencia/programa-de-incentivos-al-vehiculo-eficiente-pive,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Spain,2012,Ended,National,ESP
Government fleet procurement,https://www.iea.org/policies/3005-government-fleet-procurement,Forty electric vehicles per year for a 5-year period will be purchased by thenational ministry,Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/IA-HEV_2013_Annual_Report(1).pdf p. 214,Energy Efficiency,"Payments, finance and taxation|Public procurement|Payments and transfers",Transport|Road transport,Road vehicles|Commercial vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Turkey,2012,Ended,National,TUR
Measures for the Administration of Special funds for Energy Conservation and Emission Reduction of Civil Aviation,https://www.iea.org/policies/2607-measures-for-the-administration-of-special-funds-for-energy-conservation-and-emission-reduction-of-civil-aviation,"This notice issued by the Ministry of Finance and Civil Aviation Administration of China (CAC) seeks to strengthen the administration of special funds for energy conservation and emission reduction in civil aviation and improve efficiency in the use of funds. The notice pertains to public finance departments of all provinces, autonomous regions, municipalities directly under the Central Government, and cities under separate state planning as well as all offices under the jurisdictional supervision of the CAC. Responsible for implementation of the projects are regional administrations of CAC, and the institutions under CAC, including airlines, airport companies and air transport guarantee companies.   30% to 60% of the actual investment amount of the project will be subsidised. The subsidy ceiling for a single project is CNY 10 million per project.   Measures covered include:   Energy saving technology transformations in civil aviation;  Civil aviation energy management  Application of energy saving products and new energy Purchase and renovation of new energy and energy saving vehicles for ground management Route optimization projects; Renovation of airport waste, sewage treatment and reuse of reclaimed water facilities; Development of civil aviation energy conservation and emission standards, statistics, monitoring and evaluation systems.",Undefined,16 April 2021,http://www.nea.gov.cn/2012-09/10/c_131840395.htm,Energy Efficiency,Payments|finance and taxation,Transport|Air transport|Passenger transport (Air),Aircraft|Transport technologies,Undefined,People's Republic Of China,2012,Ended,National,CHN
PIVE Program,https://www.iea.org/policies/3169-pive-program,"The PIVE Program is an incentive program, launched by the Spanish NationalGovernment for purchasing efficient vehicles, including EVs/PHEVs. Theseincentives can be combined with buyer incentives provided by the MOVELEProgram, up to a total incentive of 8,000 EUR for the purchase of a vehicle.The PIVE Program is a car scrapping program, oriented at replacing old vehiclesby new and more efficient vehicles, including passenger vehicles (M1 category)that are more than 12 years old and light duty vehicles (N1 category) that are morethan 7 years old. Buyers receive 1,000 EUR per vehicle, which could be increasedby a 1,000 EUR additional discount realized by car manufacturers.The PIVE program started in October 2012 and has been running on differentstages, during 2014:Plan PIVE5: approved on January 24th, 2014, funded with 175 million EUR.Plan PIVE6: approved on June 26th, 2014, funded with 175 million EUR.Within the framework of this PIVE Program (from Plan PIVE 1 to Plan PIVE 6) ithas been acquired a total of 7,458 HEVs and 304 EVs/PHEVs from a total numberof 696.105 conventional vehicles (provisional data at 12/02/2015). Final estimatedresults of these plans are the replacement of around 711,000 vehicles with a totalbudget of 715 million EUR",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/Report2015_WEB.pdf p. 236,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Spain,2012,Ended,National,ESP
Registration tax benefitsSVN,https://www.iea.org/policies/6777-registration-tax-benefitssvn,"BEV's pay the lowest (0,5%) rate of tax on motor vehicle.",Undefined,5 November 2017,https://www.eafo.eu/countries/slovenia/1752/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Slovenia,2012,In force,National,SVN
Super green car circulation tax,https://www.iea.org/policies/3267-super-green-car-circulation-tax,"2016: BEV with consumption lower or equal than 37kWh/100km are exempt from annual circulation tax for 5 years after first registration. Also HEV and PHEV can be ligible for 5 years exemption if their CO2 emissions per km are lower than a certain threshold, which depends on the weight of the car itself. The formula for determining the maximum CO2 emissions allowed for being eligible of the exemption is provided to the right. 2017: BEV with consumption lower or equal than 37kWh/100km are exempt from annual circulation tax for 5 years after first registration. Also HEV and PHEV can be ligible for 5 years exemption if their CO2 emissions per km are lower than a certain threshold, which depends on the weight of the car itself. The formula for determining the maximum CO2 emissions allowed for being eligible of the exemption is provided to the right.",Undefined,5 November 2017,NEVO Submission,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Sweden,2012,Ended,National,SWE
Super green car rebate,https://www.iea.org/policies/3268-super-green-car-rebate,"2015: Premium of SEK 40000 for purchase of new car with CO2 emissions lower or equal than 50 g/km. In 2016 premium lowered to SEK 20000 for cars with 1-50 gCO2/km (PHEV), but remained SEK 40000 for BEV. For company cars the premium on BEV is 35% of the price diffrence between the EV and the equivalent fossil car, to a maximum of 40000 SEK and for PHEV  17.5% of the price diffrence between the EV and the equivalent fossil car, to a maximum of 20000SEK. 2017: Premium of SEK 20000 for cars with 1-50 gCO2/km (PHEV), but remained SEK 40000 for BEV. For company cars the premium on BEV is 35% of the price diffrence between the EV and the equivalent fossil car, to a maximum of 40000 SEK and for PHEV  17.5% of the price diffrence between the EV and the equivalent fossil car, to a maximum of 20000SEK.",Undefined,5 November 2017,NEVO Submission,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Rebates",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Sweden,2012,Ended,National,SWE
Tax reduction per vehicle,https://www.iea.org/policies/3280-tax-reduction-per-vehicle,"- Tax reduction per vehicle (2016, 2017) (unit : KRW)BEV ~4,000,000, PHEV ~2,700,000, HEV ~2,700,000, FCV ~7,200,000 .5405 fast chargers have been installed nationwide so far. The Ministry of Knowledge Economy has recently pledged that EV buyers would beexempted from taxes worth up to KRW 4.2 million (US$3,600) from 2012. Additionally,all-electric car buyers will receive: a 5% reduction in the special consumptiontax, which also covers the education tax; a 7% cut in acquisition tax; and an additionaldiscount of up to 20% automobile bond purchases.",Undefined,5 November 2017,EVI GEVO 2017 submission,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Korea,2012,In force,National,KOR
Amendment to the Act on the promotion of renewable energy sources and high-efficiency cogeneration (Act 492/2010),https://www.iea.org/policies/5022-amendment-to-the-act-on-the-promotion-of-renewable-energy-sources-and-high-efficiency-cogeneration-act-4922010,"The Act 492/2010 first modifies the excise tax framework on mineral oil to give priority to a mixture of mineral oil (motor gasoline and diesel) and biogenic substance. Second, the Act promotes renewable transport fuel by extending the scope of rights and obligations of renewable fuels producers and implementing generation targets for biofuel out of total consumption by 2020. Market players are expected to report on compliance to targeted shares of renewable fuels.",IEA/IRENA Renewables Policies Database,10 May 2017,http://www.slov-lex.sk/pravne-predpisy/SK/ZZ/2010/492/20110101,Renewable Energy,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Transport,Undefined,Undefined,Slovak Republic,2011,In force,National,SVK
Electromobility Programme (ELMO) infrastructure,https://www.iea.org/policies/8558-electromobility-programme-elmo-infrastructure,"A public procurement won by automation and power technology firm ABB was organized by the Estonian state in 2011 for the purchase and management of the country’s ELMO quick charger network. The current procurement contract was signed through November 2017. The chargers are installed in urban areas with more than 5,000 inhabitants, and on major roads throughout the country, creating the highest concentration of DC chargers in Europe. On highways, the chargers are never more than 60 km (37 miles) apart, making it possible for electric vehicles to travel anywhere within the Baltic state without running out of power.",Undefined,30 August 2019,https://news.err.ee/118347/future-of-estonia-s-electric-car-charging-network-uncertain-privatization-possible,Energy Efficiency,Payments|finance and taxation,Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure,Undefined,Estonia,2011,Ended,National,EST
Reduced special consumption tax for Hybrid and Electric Vehicles,https://www.iea.org/policies/3224-reduced-special-consumption-tax-for-hybrid-and-electric-vehicles,"The first tax reduction for hybrid vehicles was brought with the decision of the Council of Ministers dated 05.10.2016. With the regulation, the SCT rate of 90% for passenger cars, which also have an electric motor and whose electric motor exceeds 50 kW and whose engine cylinder volume does not exceed 1.800 cm3, is 45%, the electric engine power exceeds 100 kW and the engine cylinder volume is 2.500 cm3 the SCT rate, which was 145% for passenger cars not exceeding three, was also reduced to 90%.  Update: Further 15% Special Consumption Tax discount has been applied for some hybrid vehicles (with a certain power range).In November 2018, the government announced a temporary ÖTV reduction until 2019. For the cars in the first two tax groups (1.6-1.8 L engine, >50 kW electric engine power, <=85,000 Turkish lira; 1.6-1.8 L engine, >50 kW electric engine power, 85,000-135,000 Turkish lira), the ÖTV rates reduced from 45% to 30% and 50% to 35%.",Undefined,2 November 2020,http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=COM/TAD/ENV/JWPTE(2013)27/FINAL&docLanguage=Enhttp://www.ieahev.org/assets/1/7/HEV_TCP_Report2017-web.pdf p. 312,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Battery technologies,Undefined,Turkey,2011,In force,National,TUR
The Super-Green Car Premium,https://www.iea.org/policies/898-the-super-green-car-premium,"The Super-Green Car Premium Ordinance (SFS 2011:1590) came into effect in January 2012 with the purpose of promoting the use and sales of highly fuel-efficient cars with low climate impact.  A super-green car is a passenger car that complies with the EU's latest exhaust emissions limits and which emits no more than 50 grams of carbon dioxide per kilometre (as of 2016). The super-green car premium is a subsidy that should cover possible additional costs of such cars - the maximum amount of the premium is SEK 40 000 per electric car and SEK 20 000 for hybrid cars. The premium is administered by the Swedish Transport Agency. In order to be granted the premium, the applicant cannot have received other public funding for the purchase of the same car.",Undefined,5 November 2017,http://www.transportstyrelsen.se/en/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport,Undefined,Undefined,Sweden,2011,In force,National,SWE
Environmental vehicle premium,https://www.iea.org/policies/1026-environmental-vehicle-premium,"As from 1 July 2009, new vehicles with lower emissions of carbon dioxide (green vehicles according to the old green vehicle definition) are exempt from annual vehicle tax for the first five years. On 1 January 2013, more stringent criteria for the five-year exemption, involving weight-based carbon dioxide emission requirements, were introduced. The tax exemption was also extended to include motorhomes, light goods vehicles and light buses. This means that passenger cars, motorhomes, light goods vehicles and light buses brought into use in Sweden for the first time on or after 1 January 2013 are exempt from annual vehicle tax for the first five years, provided that their carbon dioxide emissions (according to data in the Road Traffic Registry) do not exceed a maximum level calculated in relation to the vehicle weight (green vehicles according to the new definition). At the beginning of 2012, a super-green vehicle rebate of up to SEK 40,000 was introduced for new vehicles emitting a maximum of 50 g CO2/km (super-green vehicles).",Undefined,5 November 2017,http://www.transportstyrelsen.se/sv/Vag/Fordon/Fordonsskatt/Femarig-skattebefrielse/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport,Undefined,Undefined,Sweden,2010,In force,National,SWE
