"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"2081",2706,2706,"Australia","AUS",NA,"South Australia Renewable Energy Target","Target of 100% renewable electricity by 2030 and 500% by 2050","https://reneweconomy.com.au/south-australia-set-sights-on-stunning-new-target-of-500-pct-renewables-97917/",2020,2020,2030,"Climate Policy Database"
"2082",2707,2707,"France","FRA",NA,"Biomass Verification Standards",NA,NA,NA,2005,NA,"Climate Policy Database"
"2083",2709,2709,"Switzerland","CHE",NA,"Mineral Oil Tax reduction on Biofuels and Natural Gas (Mineral Oil Tax Act) (amendment)","Legislative","https://climate-laws.org/geographies/switzerland/laws/mineral-oil-tax-reduction-on-biofuels-and-natural-gas-mineral-oil-tax-act-amendment",NA,2008,NA,"Climate Policy Database"
"2084",2712,2712,"United States of America","USA",NA,"Qualified Energy Conservation Bonds (QECBs)",NA,"https://www.energy.gov/sites/prod/files/2014/06/f16/qecb_creb_primer.pdf",NA,2008,NA,"Climate Policy Database"
"2085",2713,2713,"United States of America","USA",NA,"Solar America Cities",NA,"https://www.nrel.gov/docs/fy07osti/41760.pdf",NA,2007,NA,"Climate Policy Database"
"2086",2718,2718,"United States of America","USA",NA,"Renewable Energy Production Incentive (REPI)",NA,"https://www.iea.org/policies/5011-renewable-energy-production-incentive-repi?country=United%20States&page=2&sector=Multi-sector%2CElectricity&technology=Multiple%20renewable%20technologies",NA,1992,NA,"Climate Policy Database"
"2087",2720,2720,"Belgium","BEL",NA,"National Renewable Energy Action Plan (NREAP)","Under the EU Directive 2009/28/EC member countries of the European Union are obliged to draft and submit to the European Commission National Renewable Action Plans (NREAPs) outlining pathway which will allow them to meet their 2020 renewable energy, energy efficiency and GHG cuts targets._x000D_
Belgium 2020 targets:_x000D_
Overall target: 13% of share of energy generated from renewable sources in gross final energy consumption;_x000D_
Heating and cooling: 12% of heat consumption met by renewable sources;_x000D_
Electricity: 21% of electricity demand met by electricity generated from renewable energy sources;_x000D_
Transport: 10% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://ec.europa.eu/energy/topics/renewable-energy/national-renewable-energy-action-plans-2020_en?redir=1",NA,2010,2020,"Climate Policy Database"
"2088",2731,2731,"Sweden","SWE",NA,"Regulation on State Subsidies for Solar Panels <U+2013> Regulation No. 2009:689, updated/ amended by Regulation no. 2011:1473","Executive","https://www.climate-laws.org/geographies/sweden/policies/regulation-on-state-subsidies-for-solar-panels-regulation-no-2009-689-updated-amended-by-regulation-no-2011-1473",NA,2010,NA,"Climate Policy Database"
"2089",2733,2733,"United Kingdom","GBR",NA,"Microgeneration Strategy",NA,"https://www.gov.uk/government/publications/microgeneration-strategy",NA,2006,NA,"Climate Policy Database"
"2090",2734,2734,"United Kingdom","GBR",NA,"The Greenhouse Gas Emissions Trading Scheme Order","This order established a new UK emissions trading regime. The new UK- ETS<U+00A0>applies to GHG<U+00A0>emissions from power and heat generations, energy intensive industries, and aviation.<U+00A0> It also provides details on the rules governing the issuance of ""allowances"".","https://climate-laws.org/geographies/united-kingdom/policies/the-greenhouse-gas-emissions-trading-scheme-order-2020_x000D_
<U+00A0>",2021,2020,NA,"Climate Policy Database"
"2091",2738,2738,"Sweden","SWE",NA,"Investment Aid for Solar Photovoltaic Cells Connected to the Grid","The possibility of applying for investment support for solar photovoltaic (PV) cells connected to the grid was introduced on 1 July 2009. In February 2013, a new ordice on state aid for solar PV cells came into force, prolonging the support until 2016. The purpose is to contribute to the adaption of the energy system as well as contributing to the commercial development within energy technology. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/5557-investment-aid-for-solar-photovoltaic-cells-connected-to-the-grid?country=Sweden&page=2&qs=swed",NA,2009,NA,"Climate Policy Database"
"2092",2741,2741,"Japan","JPN",NA,"Fifth Basic Energy Plan",NA,"https://www.world-nuclear-news.org/Articles/Japanese-Cabinet-approves-new-basic-energy-plan_x000D_
https://www.meti.go.jp/english/press/2018/pdf/0703_002c.pdf",NA,2018,NA,"Climate Policy Database"
"2093",2742,2742,"United States of America","USA",NA,"The President's Climate Action Plan Renewable Energy Target","The renewable energy decisions linked to this plan are: directing the US Department of the Interior to permit 10 gigawatts (GW) of renewables on public lands by 2020; setting a goal to install 100 megawatts of renewables in federally assisted housing by 2020; and deploying 3 GW of renewables in military installations; The Administration set a goal to double renewable electricity generation (wind, solar, and geothermal) by 2020._x000D_
Target_x000D_
- Double renewable electricity production between 2011 and 2020","http://www.whitehouse.gov/sites/default/files/image/president27sclimateactionplan.pdf_x000D_
http://www.eia.gov/todayinenergy/detail.cfm?id=4850_x000D_
http://www.irena.org/remap/irena_remap_usa_report_2015.pdf_x000D_
http://www.nrel.gov/tech_deployment/state_local_governments/basics_portfolio_standards.html",NA,2013,NA,"Climate Policy Database"
"2094",2746,2746,"Canada","CAN",NA,"Gas Hydrates Research",NA,"http://gsc.nrcan.gc.ca/gashydrates/index_e.php",NA,1999,NA,"Climate Policy Database"
"2095",2748,2748,"Australia","AUS",NA,"Electricity Network Transformation Roadmap","This policy sets out a plan to adapt the Australian electricity grid to higher shares of renewables and especially a high share of customer-owned generators, estimated to be 30-45% of total electricity consumption by 2050._x000D_
The ENTR has been developed to provide detailed milestones and actions to guide an efficient and timely transformation over the 2017-27 decade with modelling out to 2050.","https://www.energynetworks.com.au/projects/electricity-network-transformation-roadmap/",2017,2017,2027,"Climate Policy Database"
"2096",2749,2749,"Spain","ESP",NA,"Modification to the Biomass, Waste and Wind Energy Premiums","Within the Renewable Action Plan 2000-2010, an inter-ministerial commission was created in 2001 to promote a package of measures and remove barriers in the deployment of renewable energy sources. Modification of renewable energy premiums has been introduced in the legislation that set the yearly electric tariffs. The premium for energy from biomass has been increased from <U+20AC>0.0279/kWh in 2002 to <U+20AC>0.0332/kWh in 2003, and also for the livestock manure management from <U+20AC>0.0271/kWh to <U+20AC>0.0294/kWh. Conversely, the premium for wind energy has been reduced from <U+20AC>0.0290/kWh to <U+20AC>0.0266/kWh. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/3818-modification-to-the-biomass-waste-and-wind-energy-premiums?country=Spain&page=5&qs=spai",NA,2002,NA,"Climate Policy Database"
"2097",2754,2754,"Australia","AUS",NA,"Solar Cities",NA,"http://www.martinot.info/solarcities.htm",NA,2004,2013,"Climate Policy Database"
"2098",2756,2756,"France","FRA",NA,"Exceptional 12 Months Amortisation",NA,"https://prod.iea.org/policies/769-exceptional-12-months-amortisation?page=14&technology=Multiple%20technologies&year=desc",NA,2001,NA,"Climate Policy Database"
"2099",2757,2757,"United States of America","USA",NA,"Onshore Renewable Energy Development Programs",NA,"http://www.blm.gov/wo/st/en/prog/energy/renewable_energy.html",NA,2009,NA,"Climate Policy Database"
"2100",2759,2759,"Sweden","SWE",NA,"Support for Small Scale Electricity Production","In 2000, an interim support scheme for small-scale electricity production (production plants < 1.5 MW) was established. Its aim was to ensure the conditions that will allow small-scale renewable electricity production to achieve further market penetration. The support amounted to SKr 0.09/kWh. The support measure was approved by the European Commission and was established in July 2000 in Economic Conditions for the Production of Electricity from Renewable Energy Sources (Government Bill 1999/2000:134). IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/3483-support-for-small-scale-electricity-production?country=Sweden&page=3&qs=swede",NA,2000,NA,"Climate Policy Database"
"2101",2760,2760,"Italy","ITA",NA,"Fuel Switching in Power Production - Oil to Gas",NA,"http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-06-29;128!vig=",NA,1999,NA,"Climate Policy Database"
"2102",2762,2762,"Australia","AUS",NA,"Connecting Renewables Fund",NA,"https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id:%22library/partypol/BPGX6%22",NA,2010,2011,"Climate Policy Database"
"2103",2764,2764,"Spain","ESP",NA,"Royal Decree 413/2014 on Electricity Generation by Means of Renewable, Cogeneration and Waste Facilities","The Royal Decree states that the goal of the new remuneration scheme is to provide investors with a reasonable rate of return on their investments through specific remuneration in addition to the electricity market price. The new remuneration scheme will be open for those renewable, cogeneration and waste facilities that previously benefited from recognised feed-in tariff scheme as of 14th of July 2013. For details concerning remuneration, see references.","https://www.ga-p.com/wp-content/uploads/2018/07/the-spanish-government-approves-royal-decree-413-2014-on-electricity-generation-by-means-of-renewable-cogeneration-and-waste-facilities.pdf",NA,2014,NA,"Climate Policy Database"
"2104",2770,2770,"Germany","DEU",NA,"Amendment of the Renewable Energy Sources Act (EEG","The reform introduces public tender procedures for onshore wind, offshore wind, solar and biomass projects in country<U+2019>s efforts to shift from FIT support renewable energy deployment to market orientated price finding mechanism. For more detail, see reference below. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/6125-2017-amendment-of-the-renewable-energy-sources-act-eeg-2017?country=Germany&qs=ger",NA,2017,NA,"Climate Policy Database"
"2105",2773,2773,"United States of America","USA",NA,"Requirements for Energy efficiency and Standby Power",NA,"http://www1.eere.energy.gov/femp/regulations/eo13221.html",NA,2001,NA,"Climate Policy Database"
"2106",2777,2777,"United States of America","USA",NA,"Bureau of Land Management Renewable Energy Resources","The Department of Interior Bureau of Land Management (BLM) works with local communities, state regulators, industry, and other Federal agencies in building a clean energy future by providing sites for environmentally sound development of renewable energy on public lands. Renewable energy projects on BLM-managed lands include wind, solar, geothermal, and biomass projects and the siting of transmission facilities needed to deliver this power to the consumer._x000D_
Recent program activities have included updated guidance documents for developing renewables on public lands, new proposed rules for establishing a competitive leasing process, and proposed rules that will ease right-of-way applications for lands for solar and wind development.","https://www.blm.gov/programs/energy-and-minerals/renewable-energy",NA,2009,NA,"Climate Policy Database"
"2107",2778,2778,"Spain","ESP",NA,"New National Energy Plan 2008 - 2016","A national energy plan to 2016 was announced in May 2008. The plan predicts an annual growth of 1.4% in energy demand. The plan allots an investment of EUR 9.22 m in improving electrical infrastructure and of EUR 10.2 m in gas infrastructure. It calls for increased energy production capacity and diversifying the energy mix, by increasing wind- and gas-fired capacity and a reduction in other fossi fuel and nuclear generation. Extra effort to support renewables is also promised. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/1834-new-national-energy-plan-2008-16?country=Spain&page=4&qs=spain",NA,2008,NA,"Climate Policy Database"
"2108",2780,2780,"Japan","JPN",NA,"Act on Purchase of Renewable Energy Sourced Electricity by Electric Utilities (Law No. 108 of 2011)","""Propelled partly by the increased interest in renewable energy following the Fukushima disaster, the Renewable Energy Act passed the Diet in August 2011 and was enacted in July 2012. It requires electric utility operators to purchase all the renewable electricity generated from most of the renewable energy sources (solar, onshore and offshore wind, geothermal, biomass, and hydro smaller than 30 MW).""_x000D_
(Source: http://www.wri.org/sites/default/files/wri_workingpaper_japan_final_ck_6_11_14.pdf)_x000D_
A new FiT scheme has been approved in 2016 with the goal to achieve a more balanced distribution between the different types of renewable sources (solar leading at the moment). ""The program of changes will take effect on April 1, 2017, and includes a reverse auction system that will replace the FIT system for large-scale photovoltaic (PV) solar projects."" (http://www.whitecase.com/publications/alert/changes-japans-existing-renewable-energy-feed-tariff-system)_x000D_
The FiT subsidies for solar PV systems for fiscal year 2016 are as following:_x000D_
-24 Yen for capacity >10kWh_x000D_
-33 Yen for capacity","http://www.japaneselawtranslation.go.jp/law/detail_main?ia=03&vm=02&id=2573_x000D_
http://www.whitecase.com/publications/alert/changes-japans-existing-renewable-energy-feed-tariff-system",NA,2012,NA,"Climate Policy Database"
"2109",2781,2781,"United Kingdom","GBR",NA,"Carbon Emissions Reduction Target (Energy Efficiency Commitment 3)",NA,"https://www.ofgem.gov.uk/environmental-programmes/energy-companies-obligation-eco/previous-energy-efficiency-schemes",NA,2008,2012,"Climate Policy Database"
"2110",2787,2787,"Italy","ITA",NA,"Renewable Electricity support - PV Roofs Programme",NA,"https://www.iea.org/policies/3478-renewable-electricity-support-pv-roofs-programme?country=Italy&page=4&qs=italy",NA,2000,NA,"Climate Policy Database"
"2111",2788,2788,"Australia","AUS",NA,"Regional AUS Renewables (RAR)",NA,"http://arena.gov.au/initiatives-and-programs/regional-australias-renewables/",NA,2013,2015,"Climate Policy Database"
"2112",2789,2789,"United States of America","USA",NA,"Permitting Under the Clean Air Act","""Operating Permits Issued under Title V of the Clean Air Act: title V of the Clean Air Act requires major sources of air pollutants, and certain other sources, to obtain and operate in compliance with an operating permit. Sources with these ""title V permits"" are required by the Act to certify compliance with the applicable requirements of their permits at least annually"" (EPA)","https://www.epa.gov/title-v-operating-permits/basic-information-about-operating-permits_x000D_
https://www.epa.gov/caa-permitting_x000D_
https://www.epa.gov/title-v-operating-permits",NA,2015,NA,"Climate Policy Database"
"2113",2790,2790,"United States of America","USA",NA,"Clean Air Act","Legislative. Carried out by the Environmental Protection Agency (EPA) and re-interpreted various times.","http://www2.epa.gov/clean-air-act-overview_x000D_
http://www2.epa.gov/laws-regulations/summary-clean-air-act",NA,1970,NA,"Climate Policy Database"
"2114",2791,2791,"United States of America","USA",NA,"Solar Photovoltaic Energy Research & Development and Demonstration Act",NA,"https://www.congress.gov/bill/95th-congress/house-bill/12874",NA,1978,NA,"Climate Policy Database"
"2115",2795,2795,"United States of America","USA",NA,"Coal Combustion Products Partnership (C2P2) Program",NA,"http://www.epa.gov/epaoswer/osw/conserve/c2p2/index.htm",NA,2003,NA,"Climate Policy Database"
"2116",2800,2800,"Germany","DEU",NA,"Biofuels Blending Regulations",NA,"https://www.lai.fu-berlin.de/disziplinen/oekonomie/mitarbeiter_innen/Felix_Kaup/Kaup_2010.pdf",NA,2004,NA,"Climate Policy Database"
"2117",2805,2805,"United States of America","USA",NA,"National Action Plan for Energy efficiency (NAPEE)",NA,"https://www.iea.org/policies/1963-national-action-plan-for-energy-efficiency-napee",NA,2006,NA,"Climate Policy Database"
"2118",2808,2808,"Australia","AUS",NA,"10-year Strategy for Fuel Switching to Natural Gas",NA,NA,NA,2006,2016,"Climate Policy Database"
"2119",2809,2809,"Netherlands","NLD",NA,"Energy Investment Tax Deduction Scheme (WEM)","Executive. Updated yearly: last in 2019","https://climate-laws.org/geographies/netherlands/policies/energy-investment-tax-deduction-scheme-wem",NA,1997,NA,"Climate Policy Database"
"2120",2810,2810,"Italy","ITA",NA,"Incentive mechanism for renewable energy plants","It promotes the installation of power plants using renewable energy source as photovoltaic, onshore wind, hydroelectric and residual gas from purification process. Plants with a power capacity superior than 1 MW must participate in Auction procedures. <U+00A0>","https://www.iea.org/policies/12161-ministerial-decree-july-4th-2019?country=Italy&qs=italy_x000D_
https://www.gse.it/servizi-per-te/fonti-rinnovabili/fer-elettriche/incentivi-dm-04-07-2019",NA,2019,NA,"Climate Policy Database"
"2121",2811,2811,"Canada","CAN",NA,"EcoENERGY for Renewable Power","""The program offers an incentive of 1<U+00A2> per kilowatt-hour of electricity produced over a period of ten years from a qualifying low-impact renewable energy project built before March 31, 2011."" (Annex to Canada's 2nd Biennial Report, 2016)","http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/annex_to_canadas_2nd_biennial_report_pams_table_en.pdf",2007,2007,2011,"Climate Policy Database"
"2122",2812,2812,"New Zealand","NZL",NA,"Energy Efficiency and Conservation Strategy","In 2001, the first five-year National Energy Efficiency and Conservation Strategy was released. When the Strategy was updated in October 2007, it was renamed the New Zealand Energy Efficiency and Conservation Strategy (NZEECS), and treated as a companion piece to a new, more general, Energy Strategy produced by the then Ministry of Economic Development for the Government. The current New Zealand Energy Efficiency and Conservation Strategy 2011 <U+2013> 2016 was released simultaneously with the Energy Strategy._x000D_
The current Energy Efficiency and Conservation Strategy's focus is on promoting energy efficiency, energy conservation and renewable energy. It is prepared in accordance with the Energy Efficiency and Conservation Act 2000 and is in force for a period of five years._x000D_
In addition to an economy-wide target to continue to achieve a rate of energy intensity improvement of 1.3 percent per annum the Conservation Strategy sets out objectives for six sectors:_x000D_
Transport: a more energy-efficient transport system, with a greater diversity of fuels and alternative energy technologies_x000D_
Business: enhanced business growth and competitiveness resulting from energy intensity improvements_x000D_
Housing: warm, dry and energy-efficient homes with improved air quality to avoid ill-health and lost productivity_x000D_
Products: greater business and consumer uptake of energy-efficient products_x000D_
Electricity system: an efficient, renewable electricity system supporting New Zealand<U+2019>s global competitiveness_x000D_
Public sector: greater value for money from the public sector through increased energy efficiency. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://gazette.govt.nz/notice/id/2001-gs6911",NA,2001,2016,"Climate Policy Database"
"2123",2813,2813,"Spain","ESP",NA,"Act 8/2013 on Urban Refurbishment, Regeneration and Renovation","Act 8/2013 fosters building refurbishment and urban regeneration and renovation, establishing a regulatory framework aimed to the building sector recovery. It seeks to promote quality, sustainability and competitiveness in the building sector. The Act establishes that in some cases it is possible to use free or public domain spaces, or common spaces for private use (additional roofs, facades, etc.), for the installation of solar collectors or other renewable energy sources, when they achieve at least a 30% reduction in the non-renewable primary energy consumption of a building. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/6345-act-82013-on-urban-refurbishment-regeneration-and-renovation?country=Spain&page=2&qs=spai",NA,2013,NA,"Climate Policy Database"
"2124",2814,2814,"Canada","CAN",NA,"Manitoba Solar Energy Program","Solar Energy Program of Manitoba was introduced in order to increase share of solar PV for own-consumption in the province. Program is directed to residential, commercial and industrial customers. Solar Energy Program provides two support systems: 1) one time grant support payment and 2) residential loan <U+201C>Residential Earth Power Loan<U+201D> IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/6365-manitoba-solar-energy-program?sector=Electricity&type=Grants%2Fsubsidy",NA,2015,NA,"Climate Policy Database"
"2125",2815,2815,"United Kingdom","GBR",NA,"Energy Crops Scheme - England",NA,"https://webarchive.nationalarchives.gov.uk/20060213231824/_x000D_
http://www.dti.gov.uk/renewables/",NA,2000,NA,"Climate Policy Database"
"2126",2817,2817,"Australia","AUS",NA,"CCS Flagships Programme","""The Carbon Capture and Storage Flagships (CCS Flagships) Program was established in May 2009 and supports the construction and demonstration of large-scale integrated CCS projects in Australia.""_x000D_
""The Australian Government has confirmed funding of over $125 million in its May 2014 Budget to allow the South West hub and CarbonNet projects to complete their stage gated commitments.""_x000D_
""The Education Investment Fund (EIF) provides $100 million to fund the research infrastructure component for short-listed projects. This requires partnering with an eligible research institution, such as universities, for collaborative research into CCS."" (Source: http://industry.gov.au/resource/LowEmissionsFossilFuelTech/Pages/Carbon-Capture-Storage-Flagships.aspx)","http://industry.gov.au/resource/LowEmissionsFossilFuelTech/Pages/Carbon-Capture-Storage-Flagships.aspx",NA,2009,NA,"Climate Policy Database"
"2127",2820,2820,"United States of America","USA",NA,"Smart from the Start Initiative","The Smart from the Start Initiative is an initiative to promote development of the vast wind potential, including Outer Continental Shelf (OCS) Atlantic winds, of the United States. The Smart from the Start Initiative works to ensure that the process of issuing leases for renewable energy development on the OCS is streamlined and facilitates environmentally responsible development. (For details, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/5584-smart-from-the-start-initiative?country=United%20States&page=4",NA,2010,NA,"Climate Policy Database"
"2128",2821,2821,"Australia","AUS",NA,"Biofuels Investment Readiness Program",NA,"http://arena.gov.au/about-arena/history/support-for-advanced-biofuels/",NA,2012,NA,"Climate Policy Database"
"2129",2822,2822,"France","FRA",NA,"National Renewable Energy Action Plan (NREAP)","Under the EU Directive 2009/28/EC member countries of the European Union are obliged to draft and submit to the European Commission National Renewable Action Plans (NREAPs) outlining pathway which will allow them to meet their 2020 renewable energy, energy efficiency and GHG cuts targets._x000D_
France 2020 renewable energy targets:_x000D_
Overall target: 23% of share of energy generated from renewable sources in gross final energy consumption;_x000D_
Heating and cooling: 33% of heat consumption met by renewable sources;_x000D_
Electricity: 27% of electricity demand met by electricity generated from renewable energy sources;_x000D_
Transport: 10.5% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://ec.europa.eu/energy/topics/renewable-energy/national-renewable-energy-action-plans-2020_en",NA,2010,2020,"Climate Policy Database"
"2130",2823,2823,"Canada","CAN",NA,"EcoENERGY Innovation Initiative",NA,"http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf",2011,2011,2016,"Climate Policy Database"
"2131",2824,2824,"United States of America","USA",NA,"New Source Performance Standards (NSPS) for Coal Plants","Most recent revision applies to plants constructed after 2011.","http://www.iea-coal.org.uk/documents/82575/9515/United%20States%20of%20America",NA,1977,NA,"Climate Policy Database"
"2132",2827,2827,"Japan","JPN",NA,"Telework",NA,"http://www.kantei.go.jp/jp/singi/it2/others/telework.html",NA,1999,NA,"Climate Policy Database"
"2133",2829,2829,"United Kingdom","GBR",NA,"Major PV Demonstration Programme",NA,"https://hansard.parliament.uk/Commons/2002-12-04/debates/9e8f6e36-20e3-43f9-b054-7f8d96912781/PhotovoltaicMajorDemonstrationProgramme",NA,2002,NA,"Climate Policy Database"
"2134",2832,2832,"Spain","ESP",NA,"Planning and Development of the Electric and Gas Transport Networks 2002-2011","Under the plan, priority is given to the installation of power lines coming from renewable energy facilities and for combined cycle power plants; and also for the building of natural gas pipelines to serve co-generation and combined cycle plants. The structure of electrical generation is to be modified through fuel substitution and technical change. The plan is to increase the installed capacity of wind power facilities to 13 000 MW in 2011 and of combined cycle plants to at least 14 800 MW by 2011. The forecast for energy demand used in this new plan is higher than that used in the Renewable Energy Plan. In order to reach the target of 12% of energy produced by renewables, the plan updates the objectives for wind energy and biomass electricity production in the 2000 Renewable Energy Plan. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/3816-planning-and-development-of-the-electric-and-gas-transport-networks-2002-2011?country=Spain&page=5&qs=spai",NA,2002,NA,"Climate Policy Database"
"2135",2833,2833,"Germany","DEU",NA,"Electricity Feed-In Law (""Stromeinspeisungsgesetz"")",NA,"ftp://ftp.zew.de/pub/zew-docs/umwelt/EnergiDag2.pdf",NA,1991,NA,"Climate Policy Database"
"2136",2834,2834,"United States of America","USA",NA,"National Biodiesel Education Program",NA,"https://www.federalregister.gov/documents/2003/07/15/03-17852/biodiesel-fuel-education-program-request-for-applications-and-request-for-input",NA,2002,NA,"Climate Policy Database"
"2137",2839,2839,"Canada","CAN",NA,"Carbon Dioxide Capture and Storage Initiative",NA,"https://www.nrcan.gc.ca/energy/publications/16226",NA,2001,NA,"Climate Policy Database"
"2138",2840,2840,"Canada","CAN",NA,"GHG Emission Reduction Trading Pilot",NA,"https://www.csaregistries.ca/files/projects/prj_5048_642.pdf",NA,1999,NA,"Climate Policy Database"
"2139",2841,2841,"Japan","JPN",NA,"National Budget 2021","The 2021 national budget includes several items supporting mitigation activities in different sectors. These include:_x000D_
- The Green Innovation Fund Business:  JPY 2 trillion fund to assist ambitious green projects over the next decade_x000D_
-Support for effective use of sewage resources (JPY 2 billion)_x000D_
-Zero-carbon city renewable energy enhancement support package (JPY 20 billion)_x000D_
-Subsidy for EVs, fuel cell vehicles, charging stations and renewable energy supply for charging_x000D_
- R&D projects for a fusion DEMO reactor_x000D_
-Support for carbon neutrality in the maritime and port fields (JPY 800 million)_x000D_
-Support for livestock biomass energy_x000D_
-Solar PV installation subsidy (JPY 5 billion)_x000D_
-Decarbonising distribution logistics (JPY 1 billion)","https://www.iea.org/policies/13128-national-budget-2021-green-innovation-fund-business?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13117-national-budget-2021-support-for-effective-use-of-sewage-resources?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13131-national-budget-2021-zero-carbon-city-renewable-energy-enhancement-support-package?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13126-national-budget-2021-subsidy-for-evs-fuel-cell-vehicles?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13116-national-budget-2021-rd-projects-for-a-fusion-demo-reactor?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13125-national-budget-2021-support-for-carbon-neutrality-in-the-maritime-and-port-fields?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/13130-national-budget-2021-support-for-livestock-biomass-energy?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/12790-national-budget-2021-electric-vehicles-and-fuel-cell-vehicles?country=Japan&page=1&qs=japan_x000D_
https://www.iea.org/policies/12636-national-budget-2021-solar-pv-installation?country=Japan&page=1&qs=japan",NA,2021,NA,"Climate Policy Database"
"2140",2843,2843,"Germany","DEU",NA,"Solarthermie 2000Plus",NA,"http://www.solarthermie2000plus.de/",NA,2004,2008,"Climate Policy Database"
"2141",2847,2847,"Japan","JPN",NA,"Keidanren Voluntary Action Plan on the Environment",NA,"http://www.keidanren.or.jp/en/policy/2014/107.html",NA,1997,NA,"Climate Policy Database"
"2142",2851,2851,"United Kingdom","GBR",NA,"New Opportunities Fund - Financing Renewable Energy in the UK",NA,"http://www.nof.org.uk/default.aspx?tc=63&tct=2&fc=250&fct=1",NA,2000,NA,"Climate Policy Database"
"2143",2855,2855,"United States of America","USA",NA,"Energy Storage Technology Advancement Act",NA,"https://www.congress.gov/bill/110th-congress/house-bill/3776/text",NA,2007,NA,"Climate Policy Database"
"2144",2858,2858,"United States of America","USA",NA,"Biodiesel specifications",NA,"http://transportpolicy.net/index.php?title=US:_Fuels:_Biodiesel_specifications",NA,2002,NA,"Climate Policy Database"
"2145",2861,2861,"Spain","ESP",NA,"Order IET/1491/2013 Revising Access Tolls to Power Networks and Certain Tariffs and Feed-in Tariffs for Installations under Special Regime","Revision and update of tariffs for installations including CHP plants using NG, LPG, diesel oil and fuel oil, (varying from 13,5406 to 21,1279 cEUR/kWh depending on the fuel and power of the plant), or plant using wastes different from SUW (8,8612 cEUR/kWh). For the mentioned installations Feed-in-tariffs has been removed. Tariffs for installations regulated by 2nd transitory provision of Royal Decree 661/2007 are updated as well. IEA/IRENA Global Renewable Energy Policies and Measures Database <U+00A9> OECD/IEA and IRENA, [November 2020]","https://www.iea.org/policies/6338-order-iet14912013-revising-access-tolls-to-power-networks-and-certain-tariffs-and-feed-in-tariffs-for-installations-under-special-regime?country=Spain&page=2&qs=spai",NA,2013,NA,"Climate Policy Database"
"2146",2862,2862,"Australia","AUS",NA,"Underwriting New Generation Investment Scheme","Program aimed at supporting the development of new generation capacity or life extension of current plants. It has been declared techonology-neutral, supporting several gas and coal power projects.","https://www.energy.gov.au/government-priorities/energy-programs/underwriting-new-generation-investments-program",NA,2018,NA,"Climate Policy Database"
"2147",2864,2864,"Canada","CAN",NA,"Energy Production Sector Agreements/Covenants to Reduce GHG Emissions",NA,"http://www.nrcan.gc.ca",NA,2001,2003,"Climate Policy Database"
"2148",2865,2865,"France","FRA",NA,"District Heating Classification",NA,"https://www.iea.org/policies/2208-district-heating-classification?country=France&page=4&qs=france",NA,1999,NA,"Climate Policy Database"
"2149",2867,2867,"Germany","DEU",NA,"Energy and Climate Fund Act (EKFG)","Legislative","http://www.lse.ac.uk/GranthamInstitute/law/energy-and-climate-fund-act-ekfg/",NA,2010,NA,"Climate Policy Database"
